model_a,model_b,auc_a,auc_b,delta_auc,z_statistic,p_value,significant,p_value_bh,significant_bh
e5-base,gte-base,0.7183,0.7104,0.0079,-5.1569,0.0,1,0.0,1
e5-base,gte-large,0.7183,0.7249,-0.0065,4.2496,0.0,1,0.0,1
e5-base,e5-large,0.7183,0.7117,0.0067,-5.5443,0.0,1,0.0,1
e5-base,bioclinicalbert,0.7183,0.7602,-0.0419,22.418,0.0,1,0.0,1
e5-base,pubmedbert,0.7183,0.759,-0.0407,22.7391,0.0,1,0.0,1
e5-base,sentence-biobert,0.7183,0.7648,-0.0465,19.4078,0.0,1,0.0,1
gte-base,gte-large,0.7104,0.7249,-0.0144,7.6989,0.0,1,0.0,1
gte-base,e5-large,0.7104,0.7117,-0.0012,0.7366,0.4614,0,0.4614,0
gte-base,bioclinicalbert,0.7104,0.7602,-0.0498,24.649,0.0,1,0.0,1
gte-base,pubmedbert,0.7104,0.759,-0.0485,25.121,0.0,1,0.0,1
gte-base,sentence-biobert,0.7104,0.7648,-0.0544,19.4861,0.0,1,0.0,1
gte-large,e5-large,0.7249,0.7117,0.0132,-8.0986,0.0,1,0.0,1
gte-large,bioclinicalbert,0.7249,0.7602,-0.0354,20.93,0.0,1,0.0,1
gte-large,pubmedbert,0.7249,0.759,-0.0341,22.7142,0.0,1,0.0,1
gte-large,sentence-biobert,0.7249,0.7648,-0.04,16.7736,0.0,1,0.0,1
e5-large,bioclinicalbert,0.7117,0.7602,-0.0486,25.0195,0.0,1,0.0,1
e5-large,pubmedbert,0.7117,0.759,-0.0473,26.7771,0.0,1,0.0,1
e5-large,sentence-biobert,0.7117,0.7648,-0.0532,20.8589,0.0,1,0.0,1
bioclinicalbert,pubmedbert,0.7602,0.759,0.0013,-1.4615,0.1439,0,0.1511,0
bioclinicalbert,sentence-biobert,0.7602,0.7648,-0.0046,2.0337,0.042,1,0.0464,1
pubmedbert,sentence-biobert,0.759,0.7648,-0.0058,2.5369,0.0112,1,0.0131,1
