metric,model_a,model_b,mean_a,mean_b,statistic,p_value,significant,p_value_bh,significant_bh
acc,e5-base,gte-base,0.6405,0.6247,776.1219,0.0,1,0.0,1
acc,e5-base,gte-large,0.6405,0.6432,-136.3392,0.0,1,0.0,1
acc,e5-base,e5-large,0.6405,0.6346,346.5505,0.0,1,0.0,1
acc,e5-base,bioclinicalbert,0.6405,0.6742,-1445.6758,0.0,1,0.0,1
acc,e5-base,pubmedbert,0.6405,0.6693,-1285.8802,0.0,1,0.0,1
acc,e5-base,sentence-biobert,0.6405,0.6811,-1523.7273,0.0,1,0.0,1
acc,gte-base,gte-large,0.6247,0.6432,-826.3011,0.0,1,0.0,1
acc,gte-base,e5-large,0.6247,0.6346,-481.1853,0.0,1,0.0,1
acc,gte-base,bioclinicalbert,0.6247,0.6742,-1997.5886,0.0,1,0.0,1
acc,gte-base,pubmedbert,0.6247,0.6693,-1922.0726,0.0,1,0.0,1
acc,gte-base,sentence-biobert,0.6247,0.6811,-1891.293,0.0,1,0.0,1
acc,gte-large,e5-large,0.6432,0.6346,424.5399,0.0,1,0.0,1
acc,gte-large,bioclinicalbert,0.6432,0.6742,-1374.6445,0.0,1,0.0,1
acc,gte-large,pubmedbert,0.6432,0.6693,-1232.4424,0.0,1,0.0,1
acc,gte-large,sentence-biobert,0.6432,0.6811,-1416.383,0.0,1,0.0,1
acc,e5-large,bioclinicalbert,0.6346,0.6742,-1705.1873,0.0,1,0.0,1
acc,e5-large,pubmedbert,0.6346,0.6693,-1612.3494,0.0,1,0.0,1
acc,e5-large,sentence-biobert,0.6346,0.6811,-1704.862,0.0,1,0.0,1
acc,bioclinicalbert,pubmedbert,0.6742,0.6693,295.0645,0.0,1,0.0,1
acc,bioclinicalbert,sentence-biobert,0.6742,0.6811,-258.0281,0.0,1,0.0,1
acc,pubmedbert,sentence-biobert,0.6693,0.6811,-439.4048,0.0,1,0.0,1
f1,e5-base,gte-base,0.6243,0.6011,1009.1665,0.0,1,0.0,1
f1,e5-base,gte-large,0.6243,0.6266,-104.4198,0.0,1,0.0,1
f1,e5-base,e5-large,0.6243,0.6147,514.9731,0.0,1,0.0,1
f1,e5-base,bioclinicalbert,0.6243,0.6643,-1586.2129,0.0,1,0.0,1
f1,e5-base,pubmedbert,0.6243,0.6551,-1252.0759,0.0,1,0.0,1
