metric,model_a,model_b,mean_a,mean_b,statistic,p_value,significant,p_value_bh,significant_bh
acc,e5-base,gte-base,0.6405,0.6247,0.0,0.0,1,0.0,1
acc,e5-base,gte-large,0.6405,0.6432,1306275.5,0.0,1,0.0,1
acc,e5-base,e5-large,0.6405,0.6346,22.5,0.0,1,0.0,1
acc,e5-base,bioclinicalbert,0.6405,0.6742,0.0,0.0,1,0.0,1
acc,e5-base,pubmedbert,0.6405,0.6693,0.0,0.0,1,0.0,1
acc,e5-base,sentence-biobert,0.6405,0.6811,0.0,0.0,1,0.0,1
acc,gte-base,gte-large,0.6247,0.6432,0.0,0.0,1,0.0,1
acc,gte-base,e5-large,0.6247,0.6346,0.0,0.0,1,0.0,1
acc,gte-base,bioclinicalbert,0.6247,0.6742,0.0,0.0,1,0.0,1
acc,gte-base,pubmedbert,0.6247,0.6693,0.0,0.0,1,0.0,1
acc,gte-base,sentence-biobert,0.6247,0.6811,0.0,0.0,1,0.0,1
acc,gte-large,e5-large,0.6432,0.6346,0.0,0.0,1,0.0,1
acc,gte-large,bioclinicalbert,0.6432,0.6742,0.0,0.0,1,0.0,1
acc,gte-large,pubmedbert,0.6432,0.6693,0.0,0.0,1,0.0,1
acc,gte-large,sentence-biobert,0.6432,0.6811,0.0,0.0,1,0.0,1
acc,e5-large,bioclinicalbert,0.6346,0.6742,0.0,0.0,1,0.0,1
acc,e5-large,pubmedbert,0.6346,0.6693,0.0,0.0,1,0.0,1
acc,e5-large,sentence-biobert,0.6346,0.6811,0.0,0.0,1,0.0,1
acc,bioclinicalbert,pubmedbert,0.6742,0.6693,1067.0,0.0,1,0.0,1
acc,bioclinicalbert,sentence-biobert,0.6742,0.6811,7022.5,0.0,1,0.0,1
acc,pubmedbert,sentence-biobert,0.6693,0.6811,0.0,0.0,1,0.0,1
f1,e5-base,gte-base,0.6243,0.6011,0.0,0.0,1,0.0,1
f1,e5-base,gte-large,0.6243,0.6266,3474123.0,0.0,1,0.0,1
f1,e5-base,e5-large,0.6243,0.6147,0.0,0.0,1,0.0,1
f1,e5-base,bioclinicalbert,0.6243,0.6643,0.0,0.0,1,0.0,1
f1,e5-base,pubmedbert,0.6243,0.6551,0.0,0.0,1,0.0,1
f1,e5-base,sentence-biobert,0.6243,0.6703,0.0,0.0,1,0.0,1
f1,gte-base,gte-large,0.6011,0.6266,0.0,0.0,1,0.0,1
f1,gte-base,e5-large,0.6011,0.6147,0.0,0.0,1,0.0,1
f1,gte-base,bioclinicalbert,0.6011,0.6643,0.0,0.0,1,0.0,1
f1,gte-base,pubmedbert,0.6011,0.6551,0.0,0.0,1,0.0,1
f1,gte-base,sentence-biobert,0.6011,0.6703,0.0,0.0,1,0.0,1
f1,gte-large,e5-large,0.6266,0.6147,0.0,0.0,1,0.0,1
f1,gte-large,bioclinicalbert,0.6266,0.6643,0.0,0.0,1,0.0,1
f1,gte-large,pubmedbert,0.6266,0.6551,0.0,0.0,1,0.0,1
f1,gte-large,sentence-biobert,0.6266,0.6703,0.0,0.0,1,0.0,1
f1,e5-large,bioclinicalbert,0.6147,0.6643,0.0,0.0,1,0.0,1
f1,e5-large,pubmedbert,0.6147,0.6551,0.0,0.0,1,0.0,1
f1,e5-large,sentence-biobert,0.6147,0.6703,0.0,0.0,1,0.0,1
f1,bioclinicalbert,pubmedbert,0.6643,0.6551,0.0,0.0,1,0.0,1
f1,bioclinicalbert,sentence-biobert,0.6643,0.6703,83192.0,0.0,1,0.0,1
f1,pubmedbert,sentence-biobert,0.6551,0.6703,0.0,0.0,1,0.0,1
auc,e5-base,gte-base,0.7183,0.7104,0.0,0.0,1,0.0,1
auc,e5-base,gte-large,0.7183,0.7249,0.0,0.0,1,0.0,1
auc,e5-base,e5-large,0.7183,0.7117,0.0,0.0,1,0.0,1
auc,e5-base,bioclinicalbert,0.7183,0.7602,0.0,0.0,1,0.0,1
auc,e5-base,pubmedbert,0.7183,0.759,0.0,0.0,1,0.0,1
auc,e5-base,sentence-biobert,0.7183,0.7648,0.0,0.0,1,0.0,1
auc,gte-base,gte-large,0.7104,0.7249,0.0,0.0,1,0.0,1
auc,gte-base,e5-large,0.7104,0.7117,7250079.0,0.0,1,0.0,1
auc,gte-base,bioclinicalbert,0.7104,0.7602,0.0,0.0,1,0.0,1
auc,gte-base,pubmedbert,0.7104,0.759,0.0,0.0,1,0.0,1
auc,gte-base,sentence-biobert,0.7104,0.7648,0.0,0.0,1,0.0,1
auc,gte-large,e5-large,0.7249,0.7117,0.0,0.0,1,0.0,1
auc,gte-large,bioclinicalbert,0.7249,0.7602,0.0,0.0,1,0.0,1
auc,gte-large,pubmedbert,0.7249,0.759,0.0,0.0,1,0.0,1
auc,gte-large,sentence-biobert,0.7249,0.7648,0.0,0.0,1,0.0,1
auc,e5-large,bioclinicalbert,0.7117,0.7602,0.0,0.0,1,0.0,1
auc,e5-large,pubmedbert,0.7117,0.759,0.0,0.0,1,0.0,1
auc,e5-large,sentence-biobert,0.7117,0.7648,0.0,0.0,1,0.0,1
auc,bioclinicalbert,pubmedbert,0.7602,0.759,952941.0,0.0,1,0.0,1
auc,bioclinicalbert,sentence-biobert,0.7602,0.7648,112454.0,0.0,1,0.0,1
auc,pubmedbert,sentence-biobert,0.759,0.7648,11593.0,0.0,1,0.0,1
