model_a,model_b,auc_a,auc_b,delta_auc,z_statistic,p_value,significant,p_value_bh,significant_bh
e5-base,gte-base,0.8476,0.8458,0.0018,-0.356,0.7218,0,0.7579,0
e5-base,gte-large,0.8476,0.8543,-0.0067,1.0996,0.2715,0,0.3168,0
e5-base,e5-large,0.8476,0.8554,-0.0078,1.5587,0.1191,0,0.1563,0
e5-base,bioclinicalbert,0.8476,0.8828,-0.0353,3.8136,0.0001,1,0.0004,1
e5-base,pubmedbert,0.8476,0.891,-0.0434,4.9396,0.0,1,0.0,1
e5-base,sentence-biobert,0.8476,0.8747,-0.0271,2.8675,0.0041,1,0.0086,1
gte-base,gte-large,0.8458,0.8543,-0.0085,1.1841,0.2364,0,0.292,0
gte-base,e5-large,0.8458,0.8554,-0.0096,1.7835,0.0745,0,0.1043,0
gte-base,bioclinicalbert,0.8458,0.8828,-0.037,4.5004,0.0,1,0.0,1
gte-base,pubmedbert,0.8458,0.891,-0.0451,5.446,0.0,1,0.0,1
gte-base,sentence-biobert,0.8458,0.8747,-0.0289,3.0126,0.0026,1,0.0061,1
gte-large,e5-large,0.8543,0.8554,-0.0011,0.1585,0.874,0,0.874,0
gte-large,bioclinicalbert,0.8543,0.8828,-0.0286,3.2841,0.001,1,0.003,1
gte-large,pubmedbert,0.8543,0.891,-0.0367,4.6641,0.0,1,0.0,1
gte-large,sentence-biobert,0.8543,0.8747,-0.0204,2.3986,0.0165,1,0.0315,1
e5-large,bioclinicalbert,0.8554,0.8828,-0.0275,3.2357,0.0012,1,0.0031,1
e5-large,pubmedbert,0.8554,0.891,-0.0356,4.4283,0.0,1,0.0,1
e5-large,sentence-biobert,0.8554,0.8747,-0.0193,2.0175,0.0436,1,0.0704,0
bioclinicalbert,pubmedbert,0.8828,0.891,-0.0081,1.8144,0.0696,0,0.1043,0
bioclinicalbert,sentence-biobert,0.8828,0.8747,0.0082,-1.0019,0.3164,0,0.3497,0
pubmedbert,sentence-biobert,0.891,0.8747,0.0163,-2.1037,0.0354,1,0.062,0
