metric,model_a,model_b,mean_a,mean_b,statistic,p_value,significant,p_value_bh,significant_bh
acc,e5-base,gte-base,0.7702,0.7727,-22.1639,0.0,1,0.0,1
acc,e5-base,gte-large,0.7702,0.7752,-43.2115,0.0,1,0.0,1
acc,e5-base,e5-large,0.7702,0.7629,73.1595,0.0,1,0.0,1
acc,e5-base,bioclinicalbert,0.7702,0.7703,-0.7941,0.4272,0,0.4272,0
acc,e5-base,pubmedbert,0.7702,0.7936,-181.7342,0.0,1,0.0,1
acc,e5-base,sentence-biobert,0.7702,0.79,-142.2518,0.0,1,0.0,1
acc,gte-base,gte-large,0.7727,0.7752,-19.8574,0.0,1,0.0,1
acc,gte-base,e5-large,0.7727,0.7629,92.7487,0.0,1,0.0,1
acc,gte-base,bioclinicalbert,0.7727,0.7703,18.7821,0.0,1,0.0,1
acc,gte-base,pubmedbert,0.7727,0.7936,-174.3005,0.0,1,0.0,1
acc,gte-base,sentence-biobert,0.7727,0.79,-124.0925,0.0,1,0.0,1
acc,gte-large,e5-large,0.7752,0.7629,104.2655,0.0,1,0.0,1
acc,gte-large,bioclinicalbert,0.7752,0.7703,36.3478,0.0,1,0.0,1
acc,gte-large,pubmedbert,0.7752,0.7936,-135.1137,0.0,1,0.0,1
acc,gte-large,sentence-biobert,0.7752,0.79,-114.7643,0.0,1,0.0,1
acc,e5-large,bioclinicalbert,0.7629,0.7703,-58.5118,0.0,1,0.0,1
acc,e5-large,pubmedbert,0.7629,0.7936,-249.4633,0.0,1,0.0,1
acc,e5-large,sentence-biobert,0.7629,0.79,-200.6795,0.0,1,0.0,1
acc,bioclinicalbert,pubmedbert,0.7703,0.7936,-237.468,0.0,1,0.0,1
acc,bioclinicalbert,sentence-biobert,0.7703,0.79,-154.6434,0.0,1,0.0,1
acc,pubmedbert,sentence-biobert,0.7936,0.79,29.5645,0.0,1,0.0,1
f1,e5-base,gte-base,0.7679,0.7718,-34.757,0.0,1,0.0,1
f1,e5-base,gte-large,0.7679,0.7727,-41.1921,0.0,1,0.0,1
f1,e5-base,e5-large,0.7679,0.7594,83.7006,0.0,1,0.0,1
f1,e5-base,bioclinicalbert,0.7679,0.7669,7.5582,0.0,1,0.0,1
f1,e5-base,pubmedbert,0.7679,0.7916,-181.6848,0.0,1,0.0,1
f1,e5-base,sentence-biobert,0.7679,0.7874,-137.328,0.0,1,0.0,1
f1,gte-base,gte-large,0.7718,0.7727,-7.1091,0.0,1,0.0,1
f1,gte-base,e5-large,0.7718,0.7594,116.4952,0.0,1,0.0,1
f1,gte-base,bioclinicalbert,0.7718,0.7669,38.5932,0.0,1,0.0,1
f1,gte-base,pubmedbert,0.7718,0.7916,-163.4447,0.0,1,0.0,1
f1,gte-base,sentence-biobert,0.7718,0.7874,-110.018,0.0,1,0.0,1
f1,gte-large,e5-large,0.7727,0.7594,110.7712,0.0,1,0.0,1
f1,gte-large,bioclinicalbert,0.7727,0.7669,42.3926,0.0,1,0.0,1
f1,gte-large,pubmedbert,0.7727,0.7916,-136.0868,0.0,1,0.0,1
f1,gte-large,sentence-biobert,0.7727,0.7874,-111.0376,0.0,1,0.0,1
f1,e5-large,bioclinicalbert,0.7594,0.7669,-58.3854,0.0,1,0.0,1
f1,e5-large,pubmedbert,0.7594,0.7916,-257.3319,0.0,1,0.0,1
f1,e5-large,sentence-biobert,0.7594,0.7874,-202.3518,0.0,1,0.0,1
f1,bioclinicalbert,pubmedbert,0.7669,0.7916,-247.4367,0.0,1,0.0,1
f1,bioclinicalbert,sentence-biobert,0.7669,0.7874,-156.1479,0.0,1,0.0,1
f1,pubmedbert,sentence-biobert,0.7916,0.7874,33.7374,0.0,1,0.0,1
auc,e5-base,gte-base,0.8476,0.8458,37.1046,0.0,1,0.0,1
auc,e5-base,gte-large,0.8476,0.8543,-110.1533,0.0,1,0.0,1
auc,e5-base,e5-large,0.8476,0.8554,-156.3626,0.0,1,0.0,1
auc,e5-base,bioclinicalbert,0.8476,0.8829,-383.4665,0.0,1,0.0,1
auc,e5-base,pubmedbert,0.8476,0.8909,-496.1415,0.0,1,0.0,1
auc,e5-base,sentence-biobert,0.8476,0.8748,-289.6798,0.0,1,0.0,1
auc,gte-base,gte-large,0.8458,0.8543,-119.2652,0.0,1,0.0,1
auc,gte-base,e5-large,0.8458,0.8554,-180.0848,0.0,1,0.0,1
auc,gte-base,bioclinicalbert,0.8458,0.8829,-455.6397,0.0,1,0.0,1
auc,gte-base,pubmedbert,0.8458,0.8909,-549.2121,0.0,1,0.0,1
auc,gte-base,sentence-biobert,0.8458,0.8748,-306.0449,0.0,1,0.0,1
auc,gte-large,e5-large,0.8543,0.8554,-16.1491,0.0,1,0.0,1
auc,gte-large,bioclinicalbert,0.8543,0.8829,-326.7307,0.0,1,0.0,1
auc,gte-large,pubmedbert,0.8543,0.8909,-462.7351,0.0,1,0.0,1
auc,gte-large,sentence-biobert,0.8543,0.8748,-240.5158,0.0,1,0.0,1
auc,e5-large,bioclinicalbert,0.8554,0.8829,-322.914,0.0,1,0.0,1
auc,e5-large,pubmedbert,0.8554,0.8909,-443.2323,0.0,1,0.0,1
auc,e5-large,sentence-biobert,0.8554,0.8748,-202.6018,0.0,1,0.0,1
auc,bioclinicalbert,pubmedbert,0.8829,0.8909,-179.8163,0.0,1,0.0,1
auc,bioclinicalbert,sentence-biobert,0.8829,0.8748,99.1957,0.0,1,0.0,1
auc,pubmedbert,sentence-biobert,0.8909,0.8748,209.7513,0.0,1,0.0,1
