metric,model_a,model_b,mean_a,mean_b,statistic,p_value,significant,p_value_bh,significant_bh
acc,e5-base,gte-base,0.7702,0.7727,17053011.0,0.0,1,0.0,1
acc,e5-base,gte-large,0.7702,0.7752,12323032.0,0.0,1,0.0,1
acc,e5-base,e5-large,0.7702,0.7629,6607126.5,0.0,1,0.0,1
acc,e5-base,bioclinicalbert,0.7702,0.7703,22973520.5,0.4143,0,0.4143,0
acc,e5-base,pubmedbert,0.7702,0.7936,202340.5,0.0,1,0.0,1
acc,e5-base,sentence-biobert,0.7702,0.79,1009672.0,0.0,1,0.0,1
acc,gte-base,gte-large,0.7727,0.7752,17876204.5,0.0,1,0.0,1
acc,gte-base,e5-large,0.7727,0.7629,4227883.5,0.0,1,0.0,1
acc,gte-base,bioclinicalbert,0.7727,0.7703,18085153.0,0.0,1,0.0,1
acc,gte-base,pubmedbert,0.7727,0.7936,323637.0,0.0,1,0.0,1
acc,gte-base,sentence-biobert,0.7727,0.79,1813205.5,0.0,1,0.0,1
acc,gte-large,e5-large,0.7752,0.7629,3177403.5,0.0,1,0.0,1
acc,gte-large,bioclinicalbert,0.7752,0.7703,14013691.5,0.0,1,0.0,1
acc,gte-large,pubmedbert,0.7752,0.7936,1268086.5,0.0,1,0.0,1
acc,gte-large,sentence-biobert,0.7752,0.79,2335226.0,0.0,1,0.0,1
acc,e5-large,bioclinicalbert,0.7629,0.7703,9291836.0,0.0,1,0.0,1
acc,e5-large,pubmedbert,0.7629,0.7936,11878.0,0.0,1,0.0,1
acc,e5-large,sentence-biobert,0.7629,0.79,105408.0,0.0,1,0.0,1
acc,bioclinicalbert,pubmedbert,0.7703,0.7936,16823.0,0.0,1,0.0,1
acc,bioclinicalbert,sentence-biobert,0.7703,0.79,641445.0,0.0,1,0.0,1
acc,pubmedbert,sentence-biobert,0.7936,0.79,15474557.0,0.0,1,0.0,1
f1,e5-base,gte-base,0.7679,0.7718,15578810.0,0.0,1,0.0,1
f1,e5-base,gte-large,0.7679,0.7727,13919986.0,0.0,1,0.0,1
f1,e5-base,e5-large,0.7679,0.7594,5851288.0,0.0,1,0.0,1
f1,e5-base,bioclinicalbert,0.7679,0.7669,22848644.5,0.0,1,0.0,1
f1,e5-base,pubmedbert,0.7679,0.7916,225371.0,0.0,1,0.0,1
f1,e5-base,sentence-biobert,0.7679,0.7874,1291038.5,0.0,1,0.0,1
f1,gte-base,gte-large,0.7718,0.7727,23033837.0,0.0,1,0.0,1
f1,gte-base,e5-large,0.7718,0.7594,2461579.0,0.0,1,0.0,1
f1,gte-base,bioclinicalbert,0.7718,0.7669,14631426.0,0.0,1,0.0,1
f1,gte-base,pubmedbert,0.7718,0.7916,536187.5,0.0,1,0.0,1
f1,gte-base,sentence-biobert,0.7718,0.7874,2974650.0,0.0,1,0.0,1
f1,gte-large,e5-large,0.7727,0.7594,2911764.5,0.0,1,0.0,1
f1,gte-large,bioclinicalbert,0.7727,0.7669,13691342.0,0.0,1,0.0,1
f1,gte-large,pubmedbert,0.7727,0.7916,1347526.5,0.0,1,0.0,1
f1,gte-large,sentence-biobert,0.7727,0.7874,2848348.0,0.0,1,0.0,1
f1,e5-large,bioclinicalbert,0.7594,0.7669,10138688.0,0.0,1,0.0,1
f1,e5-large,pubmedbert,0.7594,0.7916,8473.0,0.0,1,0.0,1
f1,e5-large,sentence-biobert,0.7594,0.7874,106553.5,0.0,1,0.0,1
f1,bioclinicalbert,pubmedbert,0.7669,0.7916,11481.0,0.0,1,0.0,1
f1,bioclinicalbert,sentence-biobert,0.7669,0.7874,668065.5,0.0,1,0.0,1
f1,pubmedbert,sentence-biobert,0.7916,0.7874,15772289.5,0.0,1,0.0,1
auc,e5-base,gte-base,0.8476,0.8458,15016660.0,0.0,1,0.0,1
auc,e5-base,gte-large,0.8476,0.8543,3026011.5,0.0,1,0.0,1
auc,e5-base,e5-large,0.8476,0.8554,657201.0,0.0,1,0.0,1
auc,e5-base,bioclinicalbert,0.8476,0.8829,1.0,0.0,1,0.0,1
auc,e5-base,pubmedbert,0.8476,0.8909,0.0,0.0,1,0.0,1
auc,e5-base,sentence-biobert,0.8476,0.8748,566.0,0.0,1,0.0,1
auc,gte-base,gte-large,0.8458,0.8543,2274284.5,0.0,1,0.0,1
auc,gte-base,e5-large,0.8458,0.8554,254869.0,0.0,1,0.0,1
auc,gte-base,bioclinicalbert,0.8458,0.8829,0.0,0.0,1,0.0,1
auc,gte-base,pubmedbert,0.8458,0.8909,0.0,0.0,1,0.0,1
auc,gte-base,sentence-biobert,0.8458,0.8748,189.0,0.0,1,0.0,1
auc,gte-large,e5-large,0.8543,0.8554,20514890.5,0.0,1,0.0,1
auc,gte-large,bioclinicalbert,0.8543,0.8829,42.0,0.0,1,0.0,1
auc,gte-large,pubmedbert,0.8543,0.8909,0.0,0.0,1,0.0,1
auc,gte-large,sentence-biobert,0.8543,0.8748,22967.0,0.0,1,0.0,1
auc,e5-large,bioclinicalbert,0.8554,0.8829,131.0,0.0,1,0.0,1
auc,e5-large,pubmedbert,0.8554,0.8909,0.0,0.0,1,0.0,1
auc,e5-large,sentence-biobert,0.8554,0.8748,103985.0,0.0,1,0.0,1
auc,bioclinicalbert,pubmedbert,0.8829,0.8909,257419.0,0.0,1,0.0,1
auc,bioclinicalbert,sentence-biobert,0.8829,0.8748,3959914.5,0.0,1,0.0,1
auc,pubmedbert,sentence-biobert,0.8909,0.8748,70931.5,0.0,1,0.0,1
