model_a,model_b,auc_a,auc_b,delta_auc,z_statistic,p_value,significant
e5-base,gte-base,0.7554,0.7932,-0.0379,3.4454,0.0006,1
e5-base,gte-large,0.7554,0.7513,0.0041,-0.4118,0.6805,0
e5-base,e5-large,0.7554,0.7734,-0.018,2.5345,0.0113,1
e5-base,bioclinicalbert,0.7554,0.8404,-0.085,6.2585,0.0,1
e5-base,pubmedbert,0.7554,0.8399,-0.0846,6.5029,0.0,1
e5-base,sentence-biobert,0.7554,0.8173,-0.0619,4.3158,0.0,1
gte-base,gte-large,0.7932,0.7513,0.042,-3.3101,0.0009,1
gte-base,e5-large,0.7932,0.7734,0.0199,-1.7774,0.0755,0
gte-base,bioclinicalbert,0.7932,0.8404,-0.0472,4.367,0.0,1
gte-base,pubmedbert,0.7932,0.8399,-0.0467,4.2344,0.0,1
gte-base,sentence-biobert,0.7932,0.8173,-0.0241,1.9984,0.0457,1
gte-large,e5-large,0.7513,0.7734,-0.0221,2.2705,0.0232,1
gte-large,bioclinicalbert,0.7513,0.8404,-0.0891,5.9977,0.0,1
gte-large,pubmedbert,0.7513,0.8399,-0.0887,6.6164,0.0,1
gte-large,sentence-biobert,0.7513,0.8173,-0.066,4.4944,0.0,1
e5-large,bioclinicalbert,0.7734,0.8404,-0.067,5.3666,0.0,1
e5-large,pubmedbert,0.7734,0.8399,-0.0666,5.8055,0.0,1
e5-large,sentence-biobert,0.7734,0.8173,-0.0439,3.2056,0.0013,1
bioclinicalbert,pubmedbert,0.8404,0.8399,0.0005,-0.0758,0.9395,0
bioclinicalbert,sentence-biobert,0.8404,0.8173,0.0231,-3.1526,0.0016,1
pubmedbert,sentence-biobert,0.8399,0.8173,0.0227,-2.9796,0.0029,1
