metric,model_a,model_b,mean_a,mean_b,statistic,p_value,significant
acc,e5-base,gte-base,0.7973,0.7899,64.1555,0.0,1
acc,e5-base,gte-large,0.7973,0.7862,114.3804,0.0,1
acc,e5-base,e5-large,0.7973,0.7961,13.2088,0.0,1
acc,e5-base,bioclinicalbert,0.7973,0.796,11.9574,0.0,1
acc,e5-base,pubmedbert,0.7973,0.812,-162.6885,0.0,1
acc,e5-base,sentence-biobert,0.7973,0.8207,-206.2339,0.0,1
acc,gte-base,gte-large,0.7899,0.7862,30.5199,0.0,1
acc,gte-base,e5-large,0.7899,0.7961,-55.5744,0.0,1
acc,gte-base,bioclinicalbert,0.7899,0.796,-56.8185,0.0,1
acc,gte-base,pubmedbert,0.7899,0.812,-202.0381,0.0,1
acc,gte-base,sentence-biobert,0.7899,0.8207,-254.6993,0.0,1
acc,gte-large,e5-large,0.7862,0.7961,-88.4345,0.0,1
acc,gte-large,bioclinicalbert,0.7862,0.796,-78.2166,0.0,1
acc,gte-large,pubmedbert,0.7862,0.812,-222.6023,0.0,1
acc,gte-large,sentence-biobert,0.7862,0.8207,-294.352,0.0,1
acc,e5-large,bioclinicalbert,0.7961,0.796,1.2549,0.2095,0
acc,e5-large,pubmedbert,0.7961,0.812,-160.4688,0.0,1
acc,e5-large,sentence-biobert,0.7961,0.8207,-207.3243,0.0,1
acc,bioclinicalbert,pubmedbert,0.796,0.812,-184.3798,0.0,1
acc,bioclinicalbert,sentence-biobert,0.796,0.8207,-205.0147,0.0,1
acc,pubmedbert,sentence-biobert,0.812,0.8207,-83.8481,0.0,1
f1,e5-base,gte-base,0.794,0.7883,48.6166,0.0,1
f1,e5-base,gte-large,0.794,0.7838,104.2076,0.0,1
f1,e5-base,e5-large,0.794,0.7923,19.981,0.0,1
f1,e5-base,bioclinicalbert,0.794,0.7932,7.8635,0.0,1
f1,e5-base,pubmedbert,0.794,0.809,-160.4919,0.0,1
f1,e5-base,sentence-biobert,0.794,0.8195,-219.5039,0.0,1
f1,gte-base,gte-large,0.7883,0.7838,37.9838,0.0,1
f1,gte-base,e5-large,0.7883,0.7923,-34.6681,0.0,1
f1,gte-base,bioclinicalbert,0.7883,0.7932,-44.1799,0.0,1
f1,gte-base,pubmedbert,0.7883,0.809,-185.9718,0.0,1
f1,gte-base,sentence-biobert,0.7883,0.8195,-254.2021,0.0,1
f1,gte-large,e5-large,0.7838,0.7923,-74.9682,0.0,1
f1,gte-large,bioclinicalbert,0.7838,0.7932,-73.9796,0.0,1
f1,gte-large,pubmedbert,0.7838,0.809,-213.5527,0.0,1
f1,gte-large,sentence-biobert,0.7838,0.8195,-300.8293,0.0,1
f1,e5-large,bioclinicalbert,0.7923,0.7932,-7.5429,0.0,1
f1,e5-large,pubmedbert,0.7923,0.809,-164.9197,0.0,1
f1,e5-large,sentence-biobert,0.7923,0.8195,-226.2113,0.0,1
f1,bioclinicalbert,pubmedbert,0.7932,0.809,-176.5196,0.0,1
f1,bioclinicalbert,sentence-biobert,0.7932,0.8195,-214.8198,0.0,1
f1,pubmedbert,sentence-biobert,0.809,0.8195,-99.2305,0.0,1
auc,e5-base,gte-base,0.8659,0.8401,557.5228,0.0,1
auc,e5-base,gte-large,0.8659,0.854,208.8073,0.0,1
auc,e5-base,e5-large,0.8659,0.8661,-5.8347,0.0,1
auc,e5-base,bioclinicalbert,0.8659,0.8795,-202.952,0.0,1
auc,e5-base,pubmedbert,0.8659,0.8855,-369.983,0.0,1
auc,e5-base,sentence-biobert,0.8659,0.8781,-150.0012,0.0,1
auc,gte-base,gte-large,0.8401,0.854,-198.8775,0.0,1
auc,gte-base,e5-large,0.8401,0.8661,-477.4714,0.0,1
auc,gte-base,bioclinicalbert,0.8401,0.8795,-518.7562,0.0,1
auc,gte-base,pubmedbert,0.8401,0.8855,-617.8212,0.0,1
auc,gte-base,sentence-biobert,0.8401,0.8781,-395.4681,0.0,1
auc,gte-large,e5-large,0.854,0.8661,-184.7514,0.0,1
auc,gte-large,bioclinicalbert,0.854,0.8795,-321.3158,0.0,1
auc,gte-large,pubmedbert,0.854,0.8855,-459.4467,0.0,1
auc,gte-large,sentence-biobert,0.854,0.8781,-289.5909,0.0,1
auc,e5-large,bioclinicalbert,0.8661,0.8795,-184.2186,0.0,1
auc,e5-large,pubmedbert,0.8661,0.8855,-342.4191,0.0,1
auc,e5-large,sentence-biobert,0.8661,0.8781,-137.7738,0.0,1
auc,bioclinicalbert,pubmedbert,0.8795,0.8855,-128.5866,0.0,1
auc,bioclinicalbert,sentence-biobert,0.8795,0.8781,17.3784,0.0,1
auc,pubmedbert,sentence-biobert,0.8855,0.8781,100.212,0.0,1
