metric,model_a,model_b,mean_a,mean_b,statistic,p_value,significant
acc,e5-base,gte-base,0.7025,0.7432,19.0,0.0,1
acc,e5-base,gte-large,0.7025,0.708,12084654.0,0.0,1
acc,e5-base,e5-large,0.7025,0.7433,4134.5,0.0,1
acc,e5-base,bioclinicalbert,0.7025,0.8002,0.0,0.0,1
acc,e5-base,pubmedbert,0.7025,0.7961,0.0,0.0,1
acc,e5-base,sentence-biobert,0.7025,0.7731,0.0,0.0,1
acc,gte-base,gte-large,0.7432,0.708,34481.5,0.0,1
acc,gte-base,e5-large,0.7432,0.7433,23061361.5,0.6974,0
acc,gte-base,bioclinicalbert,0.7432,0.8002,0.0,0.0,1
acc,gte-base,pubmedbert,0.7432,0.7961,0.0,0.0,1
acc,gte-base,sentence-biobert,0.7432,0.7731,200776.5,0.0,1
acc,gte-large,e5-large,0.708,0.7433,50107.5,0.0,1
acc,gte-large,bioclinicalbert,0.708,0.8002,0.0,0.0,1
acc,gte-large,pubmedbert,0.708,0.7961,0.0,0.0,1
acc,gte-large,sentence-biobert,0.708,0.7731,0.0,0.0,1
acc,e5-large,bioclinicalbert,0.7433,0.8002,3.0,0.0,1
acc,e5-large,pubmedbert,0.7433,0.7961,213.0,0.0,1
acc,e5-large,sentence-biobert,0.7433,0.7731,416940.0,0.0,1
acc,bioclinicalbert,pubmedbert,0.8002,0.7961,13957769.5,0.0,1
acc,bioclinicalbert,sentence-biobert,0.8002,0.7731,102124.0,0.0,1
acc,pubmedbert,sentence-biobert,0.7961,0.7731,59859.5,0.0,1
f1,e5-base,gte-base,0.6637,0.7236,0.0,0.0,1
f1,e5-base,gte-large,0.6637,0.6837,1547911.0,0.0,1
f1,e5-base,e5-large,0.6637,0.7354,0.0,0.0,1
f1,e5-base,bioclinicalbert,0.6637,0.7917,0.0,0.0,1
f1,e5-base,pubmedbert,0.6637,0.7849,0.0,0.0,1
f1,e5-base,sentence-biobert,0.6637,0.7599,0.0,0.0,1
f1,gte-base,gte-large,0.7236,0.6837,45749.0,0.0,1
f1,gte-base,e5-large,0.7236,0.7354,6904007.0,0.0,1
f1,gte-base,bioclinicalbert,0.7236,0.7917,0.0,0.0,1
f1,gte-base,pubmedbert,0.7236,0.7849,0.0,0.0,1
f1,gte-base,sentence-biobert,0.7236,0.7599,118163.0,0.0,1
f1,gte-large,e5-large,0.6837,0.7354,1469.0,0.0,1
f1,gte-large,bioclinicalbert,0.6837,0.7917,0.0,0.0,1
f1,gte-large,pubmedbert,0.6837,0.7849,0.0,0.0,1
f1,gte-large,sentence-biobert,0.6837,0.7599,0.0,0.0,1
f1,e5-large,bioclinicalbert,0.7354,0.7917,17.0,0.0,1
f1,e5-large,pubmedbert,0.7354,0.7849,2053.0,0.0,1
f1,e5-large,sentence-biobert,0.7354,0.7599,1724610.0,0.0,1
f1,bioclinicalbert,pubmedbert,0.7917,0.7849,11110183.0,0.0,1
f1,bioclinicalbert,sentence-biobert,0.7917,0.7599,54868.0,0.0,1
f1,pubmedbert,sentence-biobert,0.7849,0.7599,69046.0,0.0,1
auc,e5-base,gte-base,0.7555,0.7933,0.0,0.0,1
auc,e5-base,gte-large,0.7555,0.7515,14184541.5,0.0,1
auc,e5-base,e5-large,0.7555,0.7736,6300.0,0.0,1
auc,e5-base,bioclinicalbert,0.7555,0.8404,0.0,0.0,1
auc,e5-base,pubmedbert,0.7555,0.84,0.0,0.0,1
auc,e5-base,sentence-biobert,0.7555,0.8174,0.0,0.0,1
auc,gte-base,gte-large,0.7933,0.7515,41.0,0.0,1
auc,gte-base,e5-large,0.7933,0.7736,317740.0,0.0,1
auc,gte-base,bioclinicalbert,0.7933,0.8404,0.0,0.0,1
auc,gte-base,pubmedbert,0.7933,0.84,4.0,0.0,1
auc,gte-base,sentence-biobert,0.7933,0.8174,111231.0,0.0,1
auc,gte-large,e5-large,0.7515,0.7736,30415.0,0.0,1
auc,gte-large,bioclinicalbert,0.7515,0.8404,0.0,0.0,1
auc,gte-large,pubmedbert,0.7515,0.84,0.0,0.0,1
auc,gte-large,sentence-biobert,0.7515,0.8174,0.0,0.0,1
auc,e5-large,bioclinicalbert,0.7736,0.8404,0.0,0.0,1
auc,e5-large,pubmedbert,0.7736,0.84,0.0,0.0,1
auc,e5-large,sentence-biobert,0.7736,0.8174,105.0,0.0,1
auc,bioclinicalbert,pubmedbert,0.8404,0.84,22983889.5,0.0,1
auc,bioclinicalbert,sentence-biobert,0.8404,0.8174,101.0,0.0,1
auc,pubmedbert,sentence-biobert,0.84,0.8174,936.0,0.0,1
